date,title,candidate,offer,experience,difficulty,application,Interview,Interview Questions
"Feb 2, 2023",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Easy Interview,I interviewed at Apple,"HM is very friendly. The questions are fundamental statistics and SQL questions, and a little bit ML. The overall experience is good; it took about an hour. No very hard ML questions, no leetcode",some SQL basic questions etc.
"May 4, 2023",Data Scientist Interview,Anonymous Interview Candidate in New Delhi,No Offer,Positive Experience,Easy Interview,I applied online.The process took 2 weeks.I interviewed at Apple (New Delhi) in Jan 2023,"Went well, asked me a bunch of fairly generic questions from DSA, CompSys, OS. I managed to answer them all very quickly and the quick brown fox jumped over the lazy dog",What does the fox say?
"Oct 7, 2022",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Negative Experience,Average Interview,I interviewed at Apple,"Very poorly structured, the recruiter refused to provide any tips/guidelines before the interview (which is something most people would usually do)

Questions from interviews are rather random, and one of the interviewers interrupted my answer halfway rudely.",1 person found this interview helpful
"Jul 12, 2022",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied through other source.I interviewed at Apple,"The interview was punctual and professional. The interviewers were very nice and asked questions for typical engineer and data science interviews. The process was very quick and organized, as expected from a big corporation. Only went through partial interview process due to hiring timelines.",What was one issue you've overcome in the workplace or when working on a project?
"Aug 8, 2022",Data Scientist Interview,"Anonymous Interview Candidate in Cupertino, CA",No Offer,Neutral Experience,Average Interview,"I applied online.The process took 1 day.I interviewed at Apple (Cupertino, CA) in Jun 2022","The process was simple and the questions were Easy to Medium level. I went only till the Tech Screening.
I applied online and the HR contacted me.

The role was focused on data analytics and not on ML or statistics at all. Not sure why they gave it DS title.","SQL:
Find rows starting with letter 'H'

Python:
* Create a DataFrame
* Return first names from a column (use str.split function)

Tableau:
* Context Filters (also other types of filters and uses)
* Dealing with Nan and null values.
* What to do if Tableau visualization loading is slow?

Product:
Another person is sitting next to me in a room performing tests and it interferes with my Mac power and causes power fluctuations. How to confirm if that person's tests are causing the power fluctuations?
You have access to a report of when the tests are run.

General:
Data Analysis workflow
Dealing with NaN's and null values 
Worked on Splunk?
Worked on Mongo DB?
"
"Mar 26, 2022",Data Scientist Interview,Anonymous Interview Candidate,No Offer,Positive Experience,Average Interview,I applied online.I interviewed at Apple,"Recruiter Interview, Hiring Manager Interview, Onsite interview. 
The process was very smooth. 
The recruiter first called me then set up an interview with the hiring manager.  
After that onsite interview is scheduled.",Basic questions on domain knowledge.
"Feb 9, 2022",Data Scientist Interview,Anonymous Interview Candidate in Cork,No Offer,Negative Experience,Average Interview,I applied online.The process took 4 weeks.I interviewed at Apple (Cork) in Dec 2021,"I interviewed for Apple in Cork, Ireland. The interview process consisted of 8 separate rounds spread over a couple of weeks. There was one initial screening round with the hiring manager, followed by a technical test. Then six different thirty minute interviews with various team members.

After the interview process the recruiter ghosted me and never provided me an answer even after following up so I consider this interview process a waste of my time. I would suggest being more respectful of candidates who spend hours going through interview your process",The usual HR-style interview questions. The technical test consisted of a simple enough SQL question and a Python question about working with dataframes.
"Jan 16, 2022",Data Scientist Interview,"Anonymous Interview Candidate in Seattle, WA",Declined Offer,Negative Experience,Difficult Interview,"I applied online.The process took 2 months.I interviewed at Apple (Seattle, WA) in Dec 2021","manager screen > tech screen > 4 tech sessions at remote ""onsite"" 

Manager screen: asked about resume, asked brain teaser, asked old school interview questions.

Tech screen: 1 python 3 sql question in 1 hr

On-site: intermediate to advanced SQL, hard python seemed like better for software engineer, lots of hypothetical questions about how you handle different scenarios (disagreement with coworker), hypothetical about how to make spam metric with unlimited data ,presentation

People were extremely condescending and rude, and it seemed like upper management did not trust first-line management to make any decisions. Very waterfall seemingly and so secretive you can't really get a good idea about the work you will be doing or the team culture. All fanboys, any constructive criticism will be frowned upon.","Name your top 3 skills, what sets you apart form others, what is your biggest regret? SQL build this metric, ok now only look at first row for every group, python sorting function, python search function."
"Mar 22, 2022",Data Scientist Interview,"Anonymous Interview Candidate in New York, NY",No Offer,Negative Experience,Average Interview,"I applied through an employee referral.The process took 2 weeks.I interviewed at Apple (New York, NY) in Dec 2021","Internal reference and then a list of questions by email then had virtual onsite (walk through resume and then asking technical questions) After one week, their hiring decision was updated","What ML related courses did you take 
What concept did you learn
Penalized regression"
"Jan 15, 2022",Data Scientist Interview,Anonymous Employee,Accepted Offer,Positive Experience,Average Interview,I applied through a recruiter.The process took 2 months.I interviewed at Apple in Dec 2021,"Quite an interesting experience. The recruiter reached out in Aug and I replied back with time for initial screening. She then disappeared for 2 months, later on responded back saying that my email slipped through the crack. I was still in the market so we talked. Then she passed my information over and one HM picked up my resume. We then had a 45-min tech screening which ran over to 1 hour. HM was passionate, asked 2 coding questions and some behavioral ones. The final interview was a day-long loop, starting from 9 am and running all the way till 5 pm (7 interviews in total). I met with multiple people and stakeholders of the team. Heard back from the recruiter with positive feedback in a week. Despite the initial ghosting, I would say the whole recruiting experience was pleasant and efficient.","Walked me through a project that you're most proud of.
Some metric design questions
Mainly case studies around various Apple app lines"
